year,month,day,hour,minute,second,event
1991,6,8,4,13,19,5630
1991,6,8,4,30,21,432
1991,6,8,6,4,13,1622
1991,6,8,7,24,15,2189
1991,6,8,7,26,3,1841
1991,6,8,8,27,18,3121
1991,6,8,11,39,28,1713
1991,6,8,12,29,3,365
1991,6,8,12,31,25,512
1991,6,8,17,1,41,7199
1991,6,8,18,3,8,6612
1991,6,8,18,44,29,588
1991,6,8,20,5,56,1084
1991,6,8,20,51,38,366
1991,6,8,21,17,49,916
1991,6,9,0,7,55,318
1991,6,9,0,23,9,673
1991,6,9,3,18,3,1215
1991,6,9,3,42,54,1371
1991,6,9,5,1,43,940
1991,6,9,8,47,3,7420
1991,6,9,9,51,16,30237
1991,6,9,10,58,15,3262
1991,6,9,12,26,54,633
1991,6,9,13,17,3,31208
1991,6,9,16,20,49,1290
1991,6,9,18,40,40,504
1991,6,9,22,10,26,480
1991,6,9,22,32,50,452
1991,6,9,22,33,58,4127
1991,6,9,22,38,29,371
1991,6,9,22,45,47,4579
1991,6,10,0,59,15,440
1991,6,10,1,19,27,1591
1991,6,10,1,35,16,698
1991,6,10,1,37,15,653
1991,6,10,2,28,51,276710
1991,6,10,2,41,32,2920
1991,6,10,3,0,16,1369
1991,6,10,4,4,46,473
1991,6,10,4,42,45,28381
1991,6,10,5,39,29,746
1991,6,10,6,8,2,694
1991,6,10,9,14,1,5282
1991,6,10,9,20,28,3681
1991,6,10,9,27,2,1820
1991,6,10,9,36,8,586
1991,6,10,11,1,12,36195
1991,6,10,11,49,13,647
1991,6,10,12,24,2,895
1991,6,10,12,27,30,921
1991,6,10,12,33,43,5210
1991,6,10,12,41,14,1069
1991,6,10,12,46,9,11505
1991,6,10,14,18,41,1176
1991,6,10,15,12,34,4617
1991,6,10,15,39,36,2297
1991,6,10,16,32,55,1530
1991,6,10,16,40,32,727
1991,6,10,16,53,32,296378
1991,6,10,17,28,42,1133
1991,6,10,18,24,8,2149
1991,6,10,18,28,42,6799
1991,6,10,19,0,50,719
1991,6,10,19,46,39,397
1991,6,10,19,49,48,544
1991,6,10,19,56,18,2065
1991,6,10,19,59,17,1871
1991,6,10,20,21,7,590
1991,6,10,21,27,11,61396
1991,6,10,21,36,0,432
1991,6,10,21,40,42,352
1991,6,10,21,51,49,1006
1991,6,10,21,57,46,1560
1991,6,10,22,2,38,417
1991,6,10,23,16,23,1532
1991,6,10,23,27,23,2077
1991,6,11,0,53,57,634
1991,6,11,0,55,35,5410
1991,6,11,1,8,41,1713
1991,6,11,3,51,13,973
1991,6,11,4,2,14,542
1991,6,11,8,31,37,2796
1991,6,11,8,48,45,465
1991,6,11,8,50,56,726
1991,6,11,10,20,50,1101
1991,6,11,10,28,27,935
1991,6,11,11,57,1,9921
1991,6,11,13,24,23,6645
1991,6,11,13,27,35,1328
1991,6,11,13,44,8,748
1991,6,11,17,25,31,5144
1991,6,11,17,32,15,3743
1991,6,11,20,40,59,9633
1991,6,11,22,54,7,620
1991,6,12,1,17,19,858
1991,6,12,1,32,55,841
1991,6,12,6,16,2,1712
1991,6,12,9,40,36,2925
1991,6,12,11,26,24,1815
1991,6,12,16,1,0,471
1991,6,12,16,3,24,3521
1991,6,12,17,6,26,10495
1991,6,12,17,46,28,1248
1991,6,12,18,27,35,1107
1991,6,12,18,34,22,433
1991,6,12,18,36,34,1068
1991,6,12,20,36,12,1321
1991,6,12,21,44,41,1549
1991,6,12,23,38,26,1249
1991,6,12,23,47,45,90522
1991,6,13,0,35,18,1672
1991,6,13,0,55,30,1564
1991,6,13,5,32,23,9433
1991,6,13,5,40,15,1073
1991,6,13,15,8,6,594
1991,6,13,15,22,21,711
1991,6,13,18,0,13,76236
1991,6,13,20,8,24,8176
1991,6,13,0,0,24,2882
1991,6,14,0,13,12,13999
1991,6,14,1,36,12,9126
1991,6,14,2,21,24,7639
1991,6,14,3,42,28,464
1991,6,14,3,43,58,619
1991,6,14,3,48,5,1344
1991,6,14,3,53,49,1507
1991,6,14,3,59,23,502
1991,6,14,5,15,52,1182
1991,6,14,5,21,13,3019
1991,6,14,5,24,18,1742
1991,6,14,5,29,55,3670
1991,6,14,6,28,5,402
1991,6,14,8,18,48,2736
1991,6,14,9,48,33,25994
1991,6,14,10,11,10,6236
1991,6,14,17,7,27,1486
1991,6,14,17,12,21,481
1991,6,14,19,13,8,492355
1991,6,14,19,31,58,30284
1991,6,14,20,25,44,569
1991,6,14,22,31,31,5047
1991,6,14,22,39,43,5336
1991,6,14,23,27,28,996
1991,6,14,23,35,31,729
1991,6,14,23,37,35,3619
1991,6,14,23,42,38,552
1991,6,15,0,9,56,2902
1991,6,15,1,22,40,547
1991,6,15,4,23,18,922
1991,6,15,4,36,0,562
1991,6,15,5,45,43,50265
1991,6,15,7,26,12,646
1991,6,15,7,32,41,506
1991,6,15,7,34,15,784
1991,6,15,7,39,38,9757
1991,6,15,8,1,42,474
1991,6,15,8,59,30,16277
1991,6,15,10,50,46,710
1991,6,15,12,41,42,726
1991,6,15,15,24,20,6984
1991,6,15,15,37,29,561
1991,6,15,18,35,45,1260
1991,6,15,18,37,37,1032
1991,6,15,18,40,12,3814
1991,6,15,18,54,46,950
1991,6,15,19,34,3,4506
1991,6,15,20,2,50,18549
1991,6,15,20,11,57,6459
1991,6,15,20,24,14,1259
1991,6,15,20,25,50,419
1991,6,15,23,35,13,891
1991,6,16,1,54,26,1854
1991,6,16,2,7,56,1391
1991,6,16,2,11,35,5138
1991,6,16,2,24,17,939
1991,6,16,2,30,11,564
1991,6,16,4,16,26,1670
1991,6,16,5,8,20,3464
1991,6,16,5,32,26,34169
1991,6,16,7,5,23,1149
1991,6,16,8,20,18,955
1991,6,16,9,59,33,848
1991,6,16,10,3,6,3516
1991,6,16,14,19,30,397
1991,6,16,14,44,8,473
1991,6,16,15,51,16,3090
1991,6,16,16,6,48,1509
1991,6,16,16,35,12,669
1991,6,16,17,43,58,2786
1991,6,16,18,12,49,1013
1991,6,16,18,18,1,2284
1991,6,16,20,52,35,1392
1991,6,16,22,5,10,41184
1991,6,16,22,7,25,26489
1991,6,16,22,34,3,595
1991,6,16,22,54,53,859
1991,6,16,22,56,58,375
1991,6,17,0,17,3,1822
1991,6,17,0,21,3,3185
1991,6,17,1,11,33,44760
1991,6,17,1,35,42,30421
1991,6,17,3,9,19,40117
1991,6,17,3,15,51,582
1991,6,17,6,38,1,911
1991,6,17,8,10,42,102339
1991,6,17,12,26,47,555
1991,6,17,19,54,45,3061
1991,6,17,23,28,22,4877
1991,6,18,2,9,56,2608
1991,6,18,3,47,10,419
1991,6,18,5,48,34,2117
1991,6,18,22,43,1,26080
1991,6,19,0,11,51,4937
1991,6,19,5,0,42,428
1991,6,19,5,20,45,1011
1991,6,20,2,31,31,1862
1991,6,20,4,6,35,629
1991,6,21,5,13,39,1508
1991,6,21,5,39,56,304
1991,6,21,8,39,52,3778
1991,6,21,11,33,31,531
1991,6,22,7,45,3,909
1991,6,22,9,25,20,709
1991,6,23,5,21,5,599
1991,6,23,8,32,19,404
1991,6,23,21,27,40,425
1991,6,24,9,53,19,1612
1991,6,24,13,50,33,764
1991,6,25,4,36,5,322
1991,6,25,8,59,41,1150
1991,6,25,9,6,2,1023
1991,6,25,16,36,46,1396
1991,6,26,1,50,15,2132
1991,6,26,20,13,11,37850
1991,6,27,4,14,44,510
1991,6,27,13,41,34,1333
1991,6,27,13,50,28,648
1991,6,27,15,33,11,417
1991,6,27,20,7,43,417
1991,6,28,0,46,14,710
1991,6,28,1,59,17,402
1991,6,28,2,14,44,555
1991,6,28,3,47,43,657
1991,6,28,5,27,21,2526
1991,6,28,7,21,37,31465
1991,6,28,8,3,39,2840
1991,6,28,8,11,35,539
1991,6,28,8,24,43,494
1991,6,28,8,26,11,322
1991,6,28,9,47,26,3172
1991,6,28,11,51,56,316
1991,6,28,12,48,30,1104
1991,6,28,14,15,48,277
1991,6,28,14,29,32,6025
1991,6,28,21,6,56,558
1991,6,29,3,1,39,404
1991,6,29,3,3,46,726
1991,6,29,4,51,1,460
1991,6,29,5,55,53,260
1991,6,29,6,20,45,1077
1991,6,29,9,4,14,234
1991,6,29,15,41,25,18326
1991,6,30,2,44,28,2246
1991,6,30,2,56,30,371486
1991,6,30,7,27,51,464
1991,6,30,8,33,0,554
1991,6,30,12,11,55,5381
1991,6,30,13,40,53,495
1991,6,30,22,39,25,2080
1991,6,30,23,1,25,1210
1991,7,1,1,31,38,7644
1991,7,1,3,22,2,336
1991,7,1,14,39,1,1483
1991,7,1,20,6,6,545
1991,7,1,23,55,9,358
1991,7,2,0,46,10,360
1991,7,2,2,45,45,5633
1991,7,2,5,57,33,353
1991,7,2,9,16,34,480
1991,7,2,13,25,25,246
1991,7,2,16,16,38,336
1991,7,2,16,50,14,5131
1991,7,2,17,1,44,368
1991,7,2,19,36,23,466754
1991,7,2,21,41,5,3089
1991,7,2,22,33,18,415
1991,7,2,23,0,18,1815
1991,7,3,1,36,30,887
1991,7,3,4,46,18,300
1991,7,3,4,55,48,500
1991,7,3,5,26,27,7604
1991,7,3,6,40,11,295
1991,7,3,10,10,59,761
1991,7,3,16,5,12,1906
1991,7,4,0,2,21,296
1991,7,4,2,32,18,702
1991,7,4,3,19,27,8851
1991,7,4,4,9,14,1235
1991,7,4,4,59,9,502
1991,7,4,5,37,20,1094
1991,7,4,5,41,17,2003
1991,7,4,8,48,0,350
1991,7,4,12,6,14,675
1991,7,4,15,12,38,508
1991,7,4,15,45,30,2323
1991,7,4,23,2,20,377
1991,7,5,8,44,37,126037
1991,7,5,10,6,35,665
1991,7,5,10,18,26,12192
1991,7,5,11,22,6,502
1991,7,5,16,34,10,1076
1991,7,5,22,19,6,426
1991,7,6,0,19,22,888
1991,7,6,0,20,41,631
1991,7,6,0,22,24,372
1991,7,6,1,14,3,295
